Season	Family	Species	Interval	TreeNumber	MeanGs	MeanLWP
Summer17	Anacardiaceae	CN	4	2	253.1	14.5
Summer17	Anacardiaceae	CN	4	6	174.0666667	13
Summer17	Anacardiaceae	CN	4	3	235.925	11.5
Summer17	Anacardiaceae	CN	5	2	259.975	14
Summer17	Anacardiaceae	CN	5	6	186.5666667	13.5
Summer17	Anacardiaceae	CN	5	3	226.2333333	12
Spring17	Celastraceae	CR	1	5	98.23333333	10
Spring17	Celastraceae	CR	1	4	66	9.5
Spring17	Celastraceae	CR	1	3	52.16666667	12
Spring17	Celastraceae	CR	1	2	120.525	13
Spring17	Celastraceae	CR	2	5	124.6	10.5
Spring17	Celastraceae	CR	2	4	99	12
Spring17	Celastraceae	CR	2	3	109.5333333	14.5
Spring17	Celastraceae	CR	2	2	182.1	18
Spring17	Celastraceae	CR	2	1	267.2333333	14
Spring17	Celastraceae	CR	3	4	193.4	20.5
Spring17	Celastraceae	CR	3	2	216.5333333	21
Spring17	Celastraceae	CR	3	1	249.6333333	20.5
Spring17	Celastraceae	CR	4	4	207.925	26
Spring17	Celastraceae	CR	4	3	51.66666667	20
Spring17	Celastraceae	CR	4	2	213.3333333	26.5
Spring17	Celastraceae	CR	4	1	172.0666667	21
Spring17	Celastraceae	CR	5	4	166.5	20
Spring17	Celastraceae	CR	5	3	76.76666667	21.5
Spring17	Celastraceae	CR	5	2	126.675	20
Spring17	Celastraceae	CR	5	1	222	19
Spring17	Celastraceae	CX	1	1	52.66666667	18
Spring17	Celastraceae	CX	1	2	45.36666667	22
Spring17	Celastraceae	CX	1	3	66.5	15
Spring17	Celastraceae	CX	1	4	92.2	21.5
Spring17	Celastraceae	CX	1	5	51	15.5
Spring17	Celastraceae	CX	2	1	160.3	20
Spring17	Celastraceae	CX	2	2	187.4333333	27.5
Spring17	Celastraceae	CX	2	3	109.3333333	23
Spring17	Celastraceae	CX	2	4	222.0333333	22.5
Spring17	Celastraceae	CX	2	5	179.8	15.5
Spring17	Celastraceae	CX	3	1	147.3	26
Spring17	Celastraceae	CX	3	2	121.9333333	36
Spring17	Celastraceae	CX	3	3	106.4	29
Spring17	Celastraceae	CX	3	4	301.5333333	31
Spring17	Celastraceae	CX	3	5	225.5	33
Spring17	Celastraceae	CX	4	1	197.2	25.5
Spring17	Celastraceae	CX	4	2	188.7666667	38
Spring17	Celastraceae	CX	4	3	116.8	24.5
Spring17	Celastraceae	CX	4	4	276.25	27
Spring17	Celastraceae	CX	4	5	303.35	31
Spring17	Celastraceae	CX	5	1	274.5	28.5
Spring17	Celastraceae	CX	5	2	185.85	34
Spring17	Celastraceae	CX	5	3	242.1	25.5
Spring17	Celastraceae	CX	5	4	231.8	24.5
Spring17	Celastraceae	CX	5	5	186.3666667	36.5
Spring17	Celastraceae	CX	6	1	151.5666667	25.5
Spring17	Celastraceae	CX	6	2	115.7666667	30.5
Spring17	Celastraceae	CX	6	3	154.5	24
Spring17	Celastraceae	CX	6	4	225.5666667	27.5
Spring17	Celastraceae	CX	6	5	239.2333333	32
Summer17	Celastraceae	CX	1	1	59.73333333	27
Summer17	Celastraceae	CX	1	2	50.93333333	32
Summer17	Celastraceae	CX	1	6	80.56666667	25.75
Summer17	Celastraceae	CX	1	3	44.63333333	30.5
Summer17	Celastraceae	CX	1	4	79.55	27.5
Summer17	Celastraceae	CX	2	1	174.8	29
Summer17	Celastraceae	CX	2	2	96.5	37.5
Summer17	Celastraceae	CX	2	6	125.4	30
Summer17	Celastraceae	CX	2	3	59.5	33.5
Summer17	Celastraceae	CX	2	4	127.8666667	32.25
Summer17	Celastraceae	CX	3	1	164.28	38.5
Summer17	Celastraceae	CX	3	2	81.63333333	45
Summer17	Celastraceae	CX	3	6	92.325	34.5
Summer17	Celastraceae	CX	3	3	44.3	38
Summer17	Celastraceae	CX	3	4	97.8	35.25
Summer17	Celastraceae	CX	4	1	192.425	39.5
Summer17	Celastraceae	CX	4	2	80.26666667	46.5
Summer17	Celastraceae	CX	4	6	131.075	42.5
Summer17	Celastraceae	CX	4	3	66.175	39.5
Summer17	Celastraceae	CX	4	4	107.275	39.5
Summer17	Celastraceae	CX	5	1	179.28	37
Summer17	Celastraceae	CX	5	2	94.8	48.5
Summer17	Celastraceae	CX	5	6	111	40
Summer17	Celastraceae	CX	5	3	52.26666667	41
Summer17	Celastraceae	CX	5	4	119.9666667	40.5
Summer17	Celastraceae	CX	6	1	134.84	37
Summer17	Celastraceae	CX	6	2	95.85	48.5
Summer17	Celastraceae	CX	6	6	98.15	38.5
Summer17	Celastraceae	CX	6	3	58.26666667	39
Summer17	Celastraceae	CX	6	4	129.75	40.5
Spring17	Erythroxylaceae	EA	1	2	37.53333333	46.75
Spring17	Erythroxylaceae	EA	1	3	48.4	56.75
Spring17	Erythroxylaceae	EA	1	4	67.66666667	52.75
Spring17	Erythroxylaceae	EA	1	5	49.1	69
Spring17	Erythroxylaceae	EA	2	1	43.4	52.5
Spring17	Erythroxylaceae	EA	2	2	35	44.5
Spring17	Erythroxylaceae	EA	2	3	31.36666667	57
Spring17	Erythroxylaceae	EA	2	4	63.03333333	52
Spring17	Erythroxylaceae	EA	2	5	36.93333333	72
Spring17	Erythroxylaceae	EA	3	1	88.03333333	57
Spring17	Erythroxylaceae	EA	3	2	70.63333333	53
Spring17	Erythroxylaceae	EA	3	3	61.1	64
Spring17	Erythroxylaceae	EA	3	4	64.06666667	56
Spring17	Erythroxylaceae	EA	3	5	40.73333333	76
Spring17	Erythroxylaceae	EA	4	1	57.53333333	61
Spring17	Erythroxylaceae	EA	4	2	118.3	55.5
Spring17	Erythroxylaceae	EA	4	3	65.1	72
Spring17	Erythroxylaceae	EA	4	4	91.93333333	60
Spring17	Erythroxylaceae	EA	5	1	55.3	54
Spring17	Erythroxylaceae	EA	5	2	120.7	51.5
Spring17	Erythroxylaceae	EA	5	3	66.3	71
Spring17	Erythroxylaceae	EA	5	4	91	62
Spring17	Erythroxylaceae	EA	6	1	62.6	44
Spring17	Erythroxylaceae	EA	6	2	93.33333333	44
Spring17	Erythroxylaceae	EA	6	3	47.7	61
Spring17	Erythroxylaceae	EA	6	4	85.63333333	51
Spring17	Rubiaceae	EC	1	1	97.76666667	12.5
Spring17	Rubiaceae	EC	1	2	57.1	13
Spring17	Rubiaceae	EC	1	6	62.33333333	12
Spring17	Rubiaceae	EC	1	7	149.25	12
Spring17	Rubiaceae	EC	1	8	179.76	10.5
Spring17	Rubiaceae	EC	2	1	108.8	13
Spring17	Rubiaceae	EC	2	2	120.4333333	13
Spring17	Rubiaceae	EC	2	6	93.5	11.5
Spring17	Rubiaceae	EC	2	7	261.4	13.5
Spring17	Rubiaceae	EC	2	8	258.7666667	13
Spring17	Rubiaceae	EC	3	1	277.1666667	19.5
Spring17	Rubiaceae	EC	3	2	256.8333333	16
Spring17	Rubiaceae	EC	3	6	204.1333333	19.5
Spring17	Rubiaceae	EC	3	7	389.525	17
